Group	control_tissue	tissue_type	day	cage
control_AE_____XX_001	control	AE	XX	1
control_AE_____XX_002	control	AE	XX	2
control_AE_____XX_003	control	AE	XX	3
control_AE_____XX_004	control	AE	XX	4
control_AE_____XX_005	control	AE	XX	5
control_blank__XX_B20	control	blank	XX	B20
control_blank__XX_B19	control	blank	XX	B19
control_blank__XX_B24	control	blank	XX	B24
control_blank__XX_B23	control	blank	XX	B23
control_blank__XX_B22	control	blank	XX	B22
control_blank__XX_B21	control	blank	XX	B21
control_blank__XX_B13	control	blank	XX	B13
control_blank__XX_B12	control	blank	XX	B12
control_blank__XX_B18	control	blank	XX	B18
control_blank__XX_B17	control	blank	XX	B17
control_blank__XX_B16	control	blank	XX	B16
control_blank__XX_B15	control	blank	XX	B15
control_blank__XX_B14	control	blank	XX	B14
control_blank__XX_B02	control	blank	XX	B02
control_blank__XX_B01	control	blank	XX	B01
control_blank__XX_B11	control	blank	XX	B11
control_blank__XX_B10	control	blank	XX	B10
control_blank__XX_B09	control	blank	XX	B09
control_blank__XX_B08	control	blank	XX	B08
control_blank__XX_B07	control	blank	XX	B07
control_blank__XX_B06	control	blank	XX	B06
control_blank__XX_B05	control	blank	XX	B05
control_blank__XX_B04	control	blank	XX	B04
control_blank__XX_B03	control	blank	XX	B03
control_blank__XX_C09	control	blank	XX	C09
control_blank__XX_C08	control	blank	XX	C08
control_blank__XX_C17	control	blank	XX	C17
control_blank__XX_C16	control	blank	XX	C16
control_blank__XX_C15	control	blank	XX	C15
control_blank__XX_C14	control	blank	XX	C14
control_blank__XX_C13	control	blank	XX	C13
control_blank__XX_C12	control	blank	XX	C12
control_blank__XX_C11	control	blank	XX	C11
control_blank__XX_C10	control	blank	XX	C10
control_blank__XX_C02	control	blank	XX	C02
control_blank__XX_C01	control	blank	XX	C01
control_blank__XX_C07	control	blank	XX	C07
control_blank__XX_C06	control	blank	XX	C06
control_blank__XX_C05	control	blank	XX	C05
control_blank__XX_C04	control	blank	XX	C04
control_blank__XX_C03	control	blank	XX	C03
control_bleo___XX_XXX	control	bleo	XX	XXX
tissue__lung___D0_001	tissue	lung	D0	1
tissue__cecum__D0_001	tissue	cecum	D0	1
tissue__tongue_D0_001	tissue	tongue	D0	1
tissue__lung___D0_002	tissue	lung	D0	2
tissue__cecum__D0_002	tissue	cecum	D0	2
tissue__tongue_D0_002	tissue	tongue	D0	2
tissue__lung___D0_003	tissue	lung	D0	3
tissue__cecum__D0_003	tissue	cecum	D0	3
tissue__tongue_D0_003	tissue	tongue	D0	3
tissue__lung___D0_004	tissue	lung	D0	4
tissue__cecum__D0_004	tissue	cecum	D0	4
tissue__tongue_D0_004	tissue	tongue	D0	4
tissue__lung___D0_005	tissue	lung	D0	5
tissue__cecum__D0_005	tissue	cecum	D0	5
tissue__tongue_D0_005	tissue	tongue	D0	5
tissue__lung___D0_006	tissue	lung	D0	6
tissue__cecum__D0_006	tissue	cecum	D0	6
tissue__tongue_D0_006	tissue	tongue	D0	6
tissue__lung___D1_001	tissue	lung	D1	1
tissue__cecum__D1_001	tissue	cecum	D1	1
tissue__tongue_D1_001	tissue	tongue	D1	1
tissue__lung___D1_002	tissue	lung	D1	2
tissue__cecum__D1_002	tissue	cecum	D1	2
tissue__tongue_D1_002	tissue	tongue	D1	2
tissue__cecum__D1_003	tissue	cecum	D1	3
tissue__tongue_D1_003	tissue	tongue	D1	3
tissue__lung___D1_004	tissue	lung	D1	4
tissue__cecum__D1_004	tissue	cecum	D1	4
tissue__tongue_D1_004	tissue	tongue	D1	4
tissue__lung___D1_005	tissue	lung	D1	5
tissue__cecum__D1_005	tissue	cecum	D1	5
tissue__tongue_D1_005	tissue	tongue	D1	5
tissue__lung___D1_006	tissue	lung	D1	6
tissue__cecum__D1_006	tissue	cecum	D1	6
tissue__tongue_D1_006	tissue	tongue	D1	6
tissue__lung___D3_001	tissue	lung	D3	1
tissue__cecum__D3_001	tissue	cecum	D3	1
tissue__tongue_D3_001	tissue	tongue	D3	1
tissue__lung___D3_002	tissue	lung	D3	2
tissue__cecum__D3_002	tissue	cecum	D3	2
tissue__tongue_D3_002	tissue	tongue	D3	2
tissue__lung___D3_003	tissue	lung	D3	3
tissue__cecum__D3_003	tissue	cecum	D3	3
tissue__tongue_D3_003	tissue	tongue	D3	3
tissue__lung___D3_004	tissue	lung	D3	4
tissue__cecum__D3_004	tissue	cecum	D3	4
tissue__tongue_D3_004	tissue	tongue	D3	4
tissue__lung___D3_005	tissue	lung	D3	5
tissue__cecum__D3_005	tissue	cecum	D3	5
tissue__tongue_D3_005	tissue	tongue	D3	5
tissue__lung___D3_006	tissue	lung	D3	6
tissue__cecum__D3_006	tissue	cecum	D3	6
tissue__tongue_D3_006	tissue	tongue	D3	6
tissue__lung___D5_001	tissue	lung	D5	1
tissue__cecum__D5_001	tissue	cecum	D5	1
tissue__tongue_D5_001	tissue	tongue	D5	1
tissue__lung___D5_002	tissue	lung	D5	2
tissue__cecum__D5_002	tissue	cecum	D5	2
tissue__tongue_D5_002	tissue	tongue	D5	2
tissue__lung___D5_003	tissue	lung	D5	3
tissue__cecum__D5_003	tissue	cecum	D5	3
tissue__tongue_D5_003	tissue	tongue	D5	3
tissue__lung___D5_004	tissue	lung	D5	4
tissue__cecum__D5_004	tissue	cecum	D5	4
tissue__tongue_D5_004	tissue	tongue	D5	4
tissue__lung___D5_005	tissue	lung	D5	5
tissue__cecum__D5_005	tissue	cecum	D5	5
tissue__tongue_D5_005	tissue	tongue	D5	5
tissue__lung___D5_006	tissue	lung	D5	6
tissue__cecum__D5_006	tissue	cecum	D5	6
tissue__tongue_D5_006	tissue	tongue	D5	6
tissue__lung___D7_001	tissue	lung	D7	1
tissue__cecum__D7_001	tissue	cecum	D7	1
tissue__tongue_D7_001	tissue	tongue	D7	1
tissue__lung___D7_002	tissue	lung	D7	2
tissue__cecum__D7_002	tissue	cecum	D7	2
tissue__tongue_D7_002	tissue	tongue	D7	2
tissue__lung___D7_003	tissue	lung	D7	3
tissue__cecum__D7_003	tissue	cecum	D7	3
tissue__tongue_D7_003	tissue	tongue	D7	3
