specimen	exposure	day	tissue	cage	mouse
Saline____00_Feces__A_139	Saline	0	Feces	A	139
Saline____00_Feces__A_140	Saline	0	Feces	A	140
Saline____00_Feces__A_141	Saline	0	Feces	A	141
Saline____00_Lung___A_139	Saline	0	Lung	A	139
Saline____00_Lung___A_140	Saline	0	Lung	A	140
Saline____00_Lung___A_141	Saline	0	Lung	A	141
Saline____00_Tongue_A_139	Saline	0	Tongue	A	139
Saline____00_Tongue_A_140	Saline	0	Tongue	A	140
Saline____00_Tongue_A_141	Saline	0	Tongue	A	141
Saline____00_Feces__B_142	Saline	0	Feces	B	142
Saline____00_Feces__B_143	Saline	0	Feces	B	143
Saline____00_Feces__B_144	Saline	0	Feces	B	144
Saline____00_Lung___B_142	Saline	0	Lung	B	142
Saline____00_Lung___B_143	Saline	0	Lung	B	143
Saline____00_Lung___B_144	Saline	0	Lung	B	144
Saline____00_Tongue_B_142	Saline	0	Tongue	B	142
Saline____00_Tongue_B_143	Saline	0	Tongue	B	143
Saline____00_Tongue_B_144	Saline	0	Tongue	B	144
Bleomycin_04_Feces__C_145	Bleomycin	4	Feces	C	145
Bleomycin_04_Feces__C_146	Bleomycin	4	Feces	C	146
Bleomycin_04_Feces__C_147	Bleomycin	4	Feces	C	147
Bleomycin_04_Feces__C_148	Bleomycin	4	Feces	C	148
Bleomycin_04_Lung___C_145	Bleomycin	4	Lung	C	145
Bleomycin_04_Lung___C_146	Bleomycin	4	Lung	C	146
Bleomycin_04_Lung___C_147	Bleomycin	4	Lung	C	147
Bleomycin_04_Lung___C_148	Bleomycin	4	Lung	C	148
Bleomycin_04_Tongue_C_145	Bleomycin	4	Tongue	C	145
Bleomycin_04_Tongue_C_146	Bleomycin	4	Tongue	C	146
Bleomycin_04_Tongue_C_147	Bleomycin	4	Tongue	C	147
Bleomycin_04_Tongue_C_148	Bleomycin	4	Tongue	C	148
Bleomycin_04_Feces__D_149	Bleomycin	4	Feces	D	149
Bleomycin_04_Feces__D_150	Bleomycin	4	Feces	D	150
Bleomycin_04_Feces__D_151	Bleomycin	4	Feces	D	151
Bleomycin_04_Feces__D_152	Bleomycin	4	Feces	D	152
Bleomycin_04_Lung___D_149	Bleomycin	4	Lung	D	149
Bleomycin_04_Lung___D_150	Bleomycin	4	Lung	D	150
Bleomycin_04_Lung___D_151	Bleomycin	4	Lung	D	151
Bleomycin_04_Lung___D_152	Bleomycin	4	Lung	D	152
Bleomycin_04_Tongue_D_149	Bleomycin	4	Tongue	D	149
Bleomycin_04_Tongue_D_150	Bleomycin	4	Tongue	D	150
Bleomycin_04_Tongue_D_151	Bleomycin	4	Tongue	D	151
Bleomycin_04_Tongue_D_152	Bleomycin	4	Tongue	D	152
Bleomycin_07_Feces__E_153	Bleomycin	7	Feces	E	153
Bleomycin_07_Feces__E_154	Bleomycin	7	Feces	E	154
Bleomycin_07_Feces__E_155	Bleomycin	7	Feces	E	155
Bleomycin_07_Feces__E_156	Bleomycin	7	Feces	E	156
Bleomycin_07_Lung___E_153	Bleomycin	7	Lung	E	153
Bleomycin_07_Lung___E_154	Bleomycin	7	Lung	E	154
Bleomycin_07_Lung___E_155	Bleomycin	7	Lung	E	155
Bleomycin_07_Lung___E_156	Bleomycin	7	Lung	E	156
Bleomycin_07_Tongue_E_153	Bleomycin	7	Tongue	E	153
Bleomycin_07_Tongue_E_154	Bleomycin	7	Tongue	E	154
Bleomycin_07_Tongue_E_155	Bleomycin	7	Tongue	E	155
Bleomycin_07_Tongue_E_156	Bleomycin	7	Tongue	E	156
Bleomycin_07_Feces__F_157	Bleomycin	7	Feces	F	157
Bleomycin_07_Feces__F_158	Bleomycin	7	Feces	F	158
Bleomycin_07_Feces__F_159	Bleomycin	7	Feces	F	159
Bleomycin_07_Feces__F_160	Bleomycin	7	Feces	F	160
Bleomycin_07_Lung___F_157	Bleomycin	7	Lung	F	157
Bleomycin_07_Lung___F_158	Bleomycin	7	Lung	F	158
Bleomycin_07_Lung___F_159	Bleomycin	7	Lung	F	159
Bleomycin_07_Lung___F_160	Bleomycin	7	Lung	F	160
Bleomycin_07_Tongue_F_157	Bleomycin	7	Tongue	F	157
Bleomycin_07_Tongue_F_158	Bleomycin	7	Tongue	F	158
Bleomycin_07_Tongue_F_159	Bleomycin	7	Tongue	F	159
